BackMop,A,B,S
7135.58,0.00179137289524078,0.0351195214316249,43
7136.08,0.00185590237379074,0.0371569876248638,362
7136.58,0.00434030033648014,0.064332889392972,368
7137.09,0.00188438035547733,0.0516601968556643,329
7137.59,0.000938168726861477,0.0315665445911388,69
7138.1,0.00210171286016703,0.0281452837710579,193
7138.59,NaN,NaN,NaN
7139.08,0.00560163706541061,0.0465571619570255,32
7139.56,NaN,NaN,NaN
7140.1,NaN,NaN,NaN
7140.63,NaN,NaN,NaN
7141.14,0.00338339619338512,0.0460581292087833,35
7141.63,NaN,NaN,NaN
7142.09,0.00859575904905796,0.0628349197407563,292
7142.56,NaN,NaN,NaN
7143.07,NaN,NaN,NaN
7143.56,NaN,NaN,NaN
7144.07,NaN,NaN,NaN
7144.59,NaN,NaN,NaN
7145.1,NaN,NaN,NaN
7145.6,NaN,NaN,NaN
7146.12,0.00452293828129768,0.047296361066401,59
7146.61,0.00314325839281082,0.0469462542484204,149
7147.1,0.00606762617826462,0.0525050861760974,50
7147.59,0.00734850764274597,0.0507240360602736,57
7148.1,0.00577153079211712,0.0636599228406946,95
7148.6,0.00897854939103127,0.0605742549523711,198
7149.07,0.00319200195372105,0.0462320546309153,-3
7149.52,0.00216002576053143,0.0478662038221955,142
7150.01,1.87314581125975e-05,0.00312327252080043,-15
7150.52,0.00630977749824524,0.0529903002704183,362
7151.05,0.00423892959952354,0.0413883443300923,249
7151.56,0.0106000378727913,0.0771433487534523,276
7152.05,0.00185738690197468,0.0427678264677525,65
7152.53,0.0010662954300642,0.0359214621906479,318
7153.08,0.00220856070518494,0.0334841959799329,309
7153.61,0.00268228352069855,0.041985588769118,59
7154.08,0.0012142863124609,0.031594756214569,262
7154.54,0.00234702229499817,0.0304115558974445,47
7155.04,0.00350595638155937,0.0502132667849461,66
7155.56,0.00596040487289429,0.0699852829178174,153
7156.08,0.002569280564785,0.0491532866532604,90
7156.57,0.00792387127876282,0.0480197397992015,374
7157.06,0.00307817198336124,0.0376933201526602,61
7157.55,0.00165846385061741,0.0438696692387263,362
7158.06,0.0032515088096261,0.0321732463004688,366
7158.57,0.00352609902620316,0.0418253125001987,65
7159.08,0.00309150852262974,0.0290013576547305,43
7159.57,0.00137783028185368,0.0294426625284056,76
7160.05,0.0024650739505887,0.0282164930055539,372
7160.57,0.00310668349266052,0.0373188043013215,362
7161.1,0.00198723748326302,0.0426702176531156,307
7161.61,0.00482604093849659,0.0445139594376087,362
7162.1,0.00354975461959839,0.0473308113093177,374
7162.55,0.00310925021767616,0.0372338118031621,24
7163.01,0.00404604524374008,0.0451404477159182,35
7163.5,0.0024617426097393,0.0422569019719958,77
7164.03,0.0024929940700531,0.0389155667896072,292
7164.53,0.00237281620502472,0.0353696560487151,364
7165.04,0.0011643897742033,0.0397333282356461,336
7165.54,0.00292232632637024,0.041901808232069,337
7166.04,0.00328216701745987,0.0519192408149441,271
7166.54,0.00261353701353073,0.0651486665010452,310
7167.06,0.00331982225179672,0.0515227609624465,333
7167.55,0.00465894490480423,0.0672775879502296,162
7168.09,0.00709144398570061,0.0863770799090465,350
7168.59,0.0105765629559755,0.0674364861721794,47
7168.99,0.00331104546785355,0.0487654594083627,366
7169.46,0.00285704620182514,0.0454501320297519,1
7170.08,0.00296956673264503,0.0528832816829284,84
7170.5,0.0109556503593922,0.0896749353657166,263
7170.87,0.00176046043634415,0.060448629471163,352
7171.5,NaN,NaN,NaN
7172,0.0149082839488983,0.0845123510807753,208
7172.5,NaN,NaN,NaN
7172.97,0.000834506005048752,0.0403982602680723,39
7173.5,0.00869131460785866,0.083573413391908,94
7173.85,0.00408240407705307,0.0543818436563015,273
7174.48,NaN,NaN,NaN
7175.08,NaN,NaN,NaN
7177.17,0.00487603433430195,0.0395396674672763,266
7177.67,0.00168373622000217,0.0399236101657152,9
7178.13,0.00304430723190308,0.0438290465002259,218
7178.6,0.00415402185171843,0.0337173664011061,50
7179.07,0.00172090996056795,0.0322210635058582,308
7179.53,0.00430946797132492,0.0452950689941645,313
7180.04,0.00250743236392736,0.0271039586514235,352
7180.55,0.00222284067422152,0.0273633521671096,329
7181.04,0.00573588535189629,0.0428031052773198,80
