mop_id,lat,lon,shore_normal,depth
HU509,40.72412,-124.27048,300.54,15.0
HU510,40.72624,-124.26968,302.47,15.0
HU511,40.72727,-124.26802,300.48,15.0
HU512,40.72874,-124.26727,299.54,15.0
HU513,40.73016,-124.26614,298.47,15.0
HU514,40.73171,-124.26538,297.51,15.01
HU515,40.73326,-124.26417,297.48,15.04
HU516,40.73497,-124.26333,297.52,15.01
HU517,40.73667,-124.26248,297.53,15.03
HU518,40.73817,-124.26167,296.48,15.08
HU519,40.7398,-124.26073,296.52,15.01
HU520,40.74163,-124.2597,297.5,15.01
HU521,40.7433,-124.25878,297.5,15.0
HU522,40.74466,-124.25708,297.48,15.0
HU523,40.74616,-124.25623,296.51,15.0
HU524,40.74761,-124.25568,294.98,15.01
HU525,40.74942,-124.25495,295.52,15.0
HU526,40.75107,-124.25432,294.51,15.0
HU527,40.75259,-124.25351,294.0,15.0
HU528,40.75392,-124.25266,292.51,15.01
HU529,40.75421,-124.25257,284.77,15.01
HU530,40.75421,-124.25257,275.86,15.01
HU531,40.75421,-124.25257,268.21,15.01
HU532,40.7563,-124.2352,-999.99,18.06
HU533,40.7577,-124.2363,-999.99,17.53
HU534,40.759,-124.2379,-999.99,17.6
HU535,40.7603,-124.2395,-999.99,17.43
HU536,40.7616,-124.2411,-999.99,16.02
HU537,40.7629,-124.2428,-999.99,15.46
HU538,40.76432,-124.24519,281.34,14.64
HU539,40.7656,-124.2447,-999.99,16.69
HU540,40.7668,-124.2431,-999.99,19.72
HU541,40.76817,-124.24175,284.79,15.0
HU542,40.77676,-124.24277,343.01,15.0
HU543,40.77917,-124.23586,8.64,15.01
HU544,40.77917,-124.23586,1.66,15.01
HU545,40.77917,-124.23586,356.1,15.01
HU546,40.77917,-124.23586,350.95,15.01
HU547,40.77917,-124.23586,344.08,15.01
HU548,40.77917,-124.23586,336.71,15.01
HU549,40.77917,-124.23586,329.62,15.01
HU550,40.77917,-124.23586,321.71,15.01
HU551,40.77917,-124.23586,313.16,15.01
HU552,40.77917,-124.23586,303.85,15.01
HU553,40.77967,-124.23489,298.52,15.0
HU554,40.78091,-124.23315,298.01,15.0
HU555,40.78225,-124.23163,297.5,15.0
HU556,40.78407,-124.22979,300.52,15.0
HU557,40.786,-124.22826,303.55,15.0
HU558,40.78725,-124.22721,301.49,15.0
HU559,40.78832,-124.2264,297.5,15.0
HU560,40.78998,-124.22512,298.51,15.01
HU561,40.79163,-124.22348,300.51,15.0
HU562,40.79283,-124.22211,298.52,15.0
HU563,40.79427,-124.22082,297.99,15.0
HU564,40.79593,-124.21948,299.02,15.0
HU565,40.79749,-124.21843,299.01,15.01
HU566,40.79899,-124.2183,295.99,15.0
HU567,40.80073,-124.21739,296.03,15.01
HU568,40.80262,-124.21581,299.53,15.01
HU569,40.80405,-124.21463,298.45,15.0
HU570,40.80555,-124.21367,297.5,15.0
HU571,40.80702,-124.21266,296.49,15.01
HU572,40.80843,-124.2118,295.0,15.0
HU573,40.81001,-124.21067,294.54,15.01
HU574,40.8119,-124.20962,296.47,15.01
HU575,40.81377,-124.20879,297.47,15.02
HU576,40.81554,-124.20812,297.47,15.0
HU577,40.81694,-124.20718,295.99,15.0
HU578,40.81856,-124.20599,296.51,15.01
HU579,40.8204,-124.20462,298.5,15.0
HU580,40.82215,-124.20403,297.96,15.01
HU581,40.82338,-124.2029,295.97,15.01
HU582,40.82476,-124.20202,294.47,15.0
HU583,40.82642,-124.20088,294.51,15.0
HU584,40.82838,-124.20016,295.99,15.0
HU585,40.83001,-124.19914,295.99,15.0
HU586,40.83151,-124.19811,295.5,15.0
HU587,40.83326,-124.19703,296.5,15.01
HU588,40.8345,-124.19593,294.48,15.0
HU589,40.83615,-124.1954,293.5,15.0
HU590,40.83815,-124.19423,296.03,15.0
HU591,40.83971,-124.19329,295.5,15.0
HU592,40.8413,-124.19249,294.52,15.0
HU593,40.84308,-124.19147,295.53,15.0
HU594,40.8446,-124.19054,294.97,15.0
HU595,40.84623,-124.1896,294.48,15.0
HU596,40.84777,-124.18871,293.96,15.01
HU597,40.84953,-124.18768,294.52,15.01
HU598,40.85147,-124.18649,296.5,15.0
HU599,40.85296,-124.18571,295.5,15.0
HU600,40.85433,-124.18485,294.03,15.0
HU601,40.85595,-124.18398,293.55,15.0
HU602,40.85782,-124.18297,294.99,15.0
HU603,40.8596,-124.18191,295.52,15.01
HU604,40.86095,-124.18121,293.51,15.01
HU605,40.86245,-124.18038,292.52,15.0
HU606,40.86456,-124.1792,295.48,15.0
HU607,40.86588,-124.1785,293.51,15.01
HU608,40.86707,-124.17783,290.49,15.0
HU609,40.86908,-124.17677,292.53,15.01
HU610,40.87088,-124.1758,293.51,15.01
HU611,40.87258,-124.1749,293.52,15.0
HU612,40.87406,-124.17414,292.51,15.01
HU613,40.87542,-124.17348,290.54,15.0
HU614,40.87728,-124.17249,291.5,15.02
HU615,40.87909,-124.17164,291.99,15.0
HU616,40.88048,-124.17101,290.51,15.01
HU617,40.88094,-124.17074,283.5,15.01
HU618,40.88282,-124.16982,284.47,15.01
HU619,40.88602,-124.16833,293.5,14.99
HU620,40.88823,-124.16727,296.53,15.0
HU621,40.88921,-124.16682,292.48,15.0
HU622,40.89042,-124.16634,289.51,15.01
HU623,40.89214,-124.1656,289.53,15.01
HU624,40.89384,-124.16481,289.52,15.01
HU625,40.89554,-124.16404,289.48,15.0
HU626,40.89708,-124.16335,288.52,15.0
HU627,40.8986,-124.16273,287.5,15.0
HU628,40.9002,-124.162,287.02,15.0
HU629,40.90216,-124.16119,287.98,14.99
HU630,40.90397,-124.16042,288.51,15.0
HU631,40.90551,-124.15987,287.5,15.01
HU632,40.9072,-124.15914,287.49,15.0
HU633,40.90908,-124.15839,288.47,15.0
HU634,40.91056,-124.15791,286.96,15.0
HU635,40.91233,-124.15717,286.97,15.01
HU636,40.91426,-124.15647,288.02,15.01
HU637,40.91581,-124.15597,287.03,15.01
HU638,40.91705,-124.15546,284.51,14.99
HU639,40.91864,-124.15488,283.52,15.0
HU640,40.92081,-124.1542,285.99,15.0
HU641,40.92253,-124.15363,285.95,15.01
HU642,40.92451,-124.15291,286.98,15.0
HU643,40.92645,-124.15224,288.02,15.0
HU644,40.92781,-124.15184,286.02,15.0
HU645,40.92923,-124.15138,284.5,15.01
HU646,40.93074,-124.15089,282.98,15.0
HU647,40.93242,-124.15027,282.48,15.0
HU648,40.93412,-124.14972,282.52,15.01
HU649,40.93589,-124.14909,282.48,15.01
HU650,40.93759,-124.14856,282.51,15.0
HU651,40.93956,-124.14793,283.49,15.0
HU652,40.94156,-124.14734,284.99,15.0
HU653,40.94329,-124.14687,284.51,15.01
HU654,40.94501,-124.14637,284.51,15.0
HU655,40.94722,-124.14581,286.48,15.01
HU656,40.94946,-124.14545,288.53,15.0
HU657,40.95072,-124.14523,286.0,15.01
HU658,40.95214,-124.1449,284.47,15.0
HU659,40.95369,-124.14468,283.02,15.0
HU660,40.95553,-124.14439,283.48,15.0
L0172,33.71,-118.2437,154.28,10.37
L0173,33.70967,-118.245,188.08,14.41
L0174,33.70978,-118.24595,-999.99,8.29
L0175,33.70947,-118.24696,-999.99,4.06
L0176,33.70918,-118.24799,-999.99,13.88
L0177,33.70888,-118.249,-999.99,10.54
L0178,33.70858,-118.25002,-999.99,11.54
L0179,33.70827,-118.25104,180.0,12.81
L0180,33.70783,-118.25191,180.0,4.16
L0181,33.70767,-118.25306,-999.99,4.01
L0182,33.70709,-118.25377,136.45,6.01
L0183,33.70612,-118.25475,162.5,11.34
L0184,33.70612,-118.25585,160.94,8.33
L0185,33.70568,-118.25671,155.59,8.71
L0186,33.70554,-118.25793,163.97,10.27
L0187,33.70533,-118.25882,148.9,6.61
L0188,33.7046,-118.25983,163.74,10.47
L0189,33.70452,-118.26079,153.01,10.16
L0190,33.70401,-118.26166,151.37,8.57
L0191,33.70383,-118.26292,164.82,10.71
L0192,33.70345,-118.26373,150.23,8.31
L0193,33.70282,-118.26482,166.29,11.18
L0194,33.70267,-118.26588,166.11,8.73
L0195,33.70238,-118.267,171.35,8.87
L0196,33.70201,-118.26832,183.17,11.1
